location,location_name,year,week,target_end_date,value,status,release_status,data_version,source_region_code,source_year_week,official_release_time
SE-O,Västra Götalandsregionen,2026,2,2026-01-11,260,available,historical,2026-08-25T00:00:00Z,14,2026W02,
SE,Sverige,2026,3,2026-01-18,1082,available,historical,2026-08-25T00:00:00Z,00,2026W03,
SE-M,Region Skåne,2026,3,2026-01-18,130,available,historical,2026-08-25T00:00:00Z,12,2026W03,
SE-O,Västra Götalandsregionen,2026,3,2026-01-18,151,available,historical,2026-08-25T00:00:00Z,14,2026W03,
SE,Sverige,2026,4,2026-01-25,968,available,historical,2026-08-25T00:00:00Z,00,2026W04,
SE-M,Region Skåne,2026,4,2026-01-25,133,available,historical,2026-08-25T00:00:00Z,12,2026W04,
SE-O,Västra Götalandsregionen,2026,4,2026-01-25,135,available,historical,2026-08-25T00:00:00Z,14,2026W04,
SE,Sverige,2026,5,2026-02-01,1107,available,historical,2026-08-25T00:00:00Z,00,2026W05,
SE-M,Region Skåne,2026,5,2026-02-01,189,available,historical,2026-08-25T00:00:00Z,12,2026W05,
SE-O,Västra Götalandsregionen,2026,5,2026-02-01,203,available,historical,2026-08-25T00:00:00Z,14,2026W05,
SE,Sverige,2026,6,2026-02-08,1404,available,historical,2026-08-25T00:00:00Z,00,2026W06,
SE-M,Region Skåne,2026,6,2026-02-08,215,available,historical,2026-08-25T00:00:00Z,12,2026W06,
SE-O,Västra Götalandsregionen,2026,6,2026-02-08,230,available,historical,2026-08-25T00:00:00Z,14,2026W06,
SE,Sverige,2026,7,2026-02-15,1616,available,historical,2026-08-25T00:00:00Z,00,2026W07,
SE-M,Region Skåne,2026,7,2026-02-15,224,available,historical,2026-08-25T00:00:00Z,12,2026W07,
SE-O,Västra Götalandsregionen,2026,7,2026-02-15,281,available,historical,2026-08-25T00:00:00Z,14,2026W07,
SE,Sverige,2026,8,2026-02-22,1529,available,historical,2026-08-25T00:00:00Z,00,2026W08,
SE-M,Region Skåne,2026,8,2026-02-22,188,available,historical,2026-08-25T00:00:00Z,12,2026W08,
SE-O,Västra Götalandsregionen,2026,8,2026-02-22,257,available,historical,2026-08-25T00:00:00Z,14,2026W08,
SE,Sverige,2026,9,2026-03-01,1252,available,historical,2026-08-25T00:00:00Z,00,2026W09,
SE-M,Region Skåne,2026,9,2026-03-01,156,available,historical,2026-08-25T00:00:00Z,12,2026W09,
SE-O,Västra Götalandsregionen,2026,9,2026-03-01,185,available,historical,2026-08-25T00:00:00Z,14,2026W09,
SE,Sverige,2026,10,2026-03-08,775,available,historical,2026-08-25T00:00:00Z,00,2026W10,
SE-M,Region Skåne,2026,10,2026-03-08,70,available,historical,2026-08-25T00:00:00Z,12,2026W10,
SE-O,Västra Götalandsregionen,2026,10,2026-03-08,143,available,historical,2026-08-25T00:00:00Z,14,2026W10,
SE,Sverige,2026,11,2026-03-15,475,available,historical,2026-08-25T00:00:00Z,00,2026W11,
SE-M,Region Skåne,2026,11,2026-03-15,30,available,historical,2026-08-25T00:00:00Z,12,2026W11,
SE-O,Västra Götalandsregionen,2026,11,2026-03-15,80,available,historical,2026-08-25T00:00:00Z,14,2026W11,
SE,Sverige,2026,12,2026-03-22,321,available,historical,2026-08-25T00:00:00Z,00,2026W12,
SE-M,Region Skåne,2026,12,2026-03-22,25,available,historical,2026-08-25T00:00:00Z,12,2026W12,
SE-O,Västra Götalandsregionen,2026,12,2026-03-22,50,available,historical,2026-08-25T00:00:00Z,14,2026W12,
SE,Sverige,2026,13,2026-03-29,223,available,historical,2026-08-25T00:00:00Z,00,2026W13,
SE-M,Region Skåne,2026,13,2026-03-29,17,available,historical,2026-08-25T00:00:00Z,12,2026W13,
SE-O,Västra Götalandsregionen,2026,13,2026-03-29,39,available,historical,2026-08-25T00:00:00Z,14,2026W13,
SE,Sverige,2026,14,2026-04-05,187,available,historical,2026-08-25T00:00:00Z,00,2026W14,
SE-M,Region Skåne,2026,14,2026-04-05,11,available,historical,2026-08-25T00:00:00Z,12,2026W14,
SE-O,Västra Götalandsregionen,2026,14,2026-04-05,24,available,historical,2026-08-25T00:00:00Z,14,2026W14,
SE,Sverige,2026,15,2026-04-12,175,available,historical,2026-08-25T00:00:00Z,00,2026W15,
SE-M,Region Skåne,2026,15,2026-04-12,9,available,historical,2026-08-25T00:00:00Z,12,2026W15,
SE-O,Västra Götalandsregionen,2026,15,2026-04-12,27,available,historical,2026-08-25T00:00:00Z,14,2026W15,
SE,Sverige,2026,16,2026-04-19,106,available,historical,2026-08-25T00:00:00Z,00,2026W16,
SE-M,Region Skåne,2026,16,2026-04-19,8,available,historical,2026-08-25T00:00:00Z,12,2026W16,
SE-O,Västra Götalandsregionen,2026,16,2026-04-19,13,available,historical,2026-08-25T00:00:00Z,14,2026W16,
SE,Sverige,2026,17,2026-04-26,89,available,historical,2026-08-25T00:00:00Z,00,2026W17,
