reference_date,horizon,location,output_type_id,term,coefficient,selected_alpha,training_sample_count
2025-12-21,0,SE,0.1,intercept,-57.3021522011,0.001,11
2025-12-21,0,SE,0.1,hubdemo-damped4,0.420569367111,0.001,11
2025-12-21,0,SE,0.1,hubdemo-exptrend4,0.26026562423,0.001,11
2025-12-21,0,SE,0.1,hubdemo-linear4,0,0.001,11
2025-12-21,0,SE,0.1,hubdemo-mean3,-5.05653504981,0.001,11
2025-12-21,0,SE,0.1,hubdemo-mean6,5.75281399813,0.001,11
2025-12-21,0,SE,0.1,hubdemo-persistence,1.86610388736,0.001,11
2025-12-21,0,SE,0.25,intercept,-66.3273452633,0.01,11
2025-12-21,0,SE,0.25,hubdemo-damped4,0,0.01,11
2025-12-21,0,SE,0.25,hubdemo-exptrend4,0,0.01,11
2025-12-21,0,SE,0.25,hubdemo-linear4,0,0.01,11
2025-12-21,0,SE,0.25,hubdemo-mean3,0,0.01,11
2025-12-21,0,SE,0.25,hubdemo-mean6,1.07142858673,0.01,11
2025-12-21,0,SE,0.25,hubdemo-persistence,1.57213416825,0.01,11
2025-12-21,0,SE,0.5,intercept,-42.5914901392,0.01,11
2025-12-21,0,SE,0.5,hubdemo-damped4,0,0.01,11
2025-12-21,0,SE,0.5,hubdemo-exptrend4,-0.205550463997,0.01,11
2025-12-21,0,SE,0.5,hubdemo-linear4,0,0.01,11
2025-12-21,0,SE,0.5,hubdemo-mean3,0,0.01,11
2025-12-21,0,SE,0.5,hubdemo-mean6,1.54822831141,0.01,11
2025-12-21,0,SE,0.5,hubdemo-persistence,1.81889289211,0.01,11
2025-12-21,0,SE,0.75,intercept,-14.7141366608,0.1,11
2025-12-21,0,SE,0.75,hubdemo-damped4,0,0.1,11
2025-12-21,0,SE,0.75,hubdemo-exptrend4,0,0.1,11
2025-12-21,0,SE,0.75,hubdemo-linear4,0,0.1,11
2025-12-21,0,SE,0.75,hubdemo-mean3,0,0.1,11
2025-12-21,0,SE,0.75,hubdemo-mean6,1.52385453229,0.1,11
2025-12-21,0,SE,0.75,hubdemo-persistence,1.34460808152,0.1,11
2025-12-21,0,SE,0.9,intercept,39.4404594185,0.1,11
2025-12-21,0,SE,0.9,hubdemo-damped4,0,0.1,11
2025-12-21,0,SE,0.9,hubdemo-exptrend4,0,0.1,11
2025-12-21,0,SE,0.9,hubdemo-linear4,0,0.1,11
2025-12-21,0,SE,0.9,hubdemo-mean3,0,0.1,11
2025-12-21,0,SE,0.9,hubdemo-mean6,0.493138599379,0.1,11
2025-12-21,0,SE,0.9,hubdemo-persistence,1.62343218387,0.1,11
2025-12-21,0,SE,0.975,intercept,-13.1098716993,0.001,11
2025-12-21,0,SE,0.975,hubdemo-damped4,0,0.001,11
2025-12-21,0,SE,0.975,hubdemo-exptrend4,-0.131677291625,0.001,11
2025-12-21,0,SE,0.975,hubdemo-linear4,0,0.001,11
2025-12-21,0,SE,0.975,hubdemo-mean3,0,0.001,11
2025-12-21,0,SE,0.975,hubdemo-mean6,1.16903761221,0.001,11
2025-12-21,0,SE,0.975,hubdemo-persistence,1.74864589626,0.001,11
2025-12-28,0,SE,0.025,intercept,29,1,12
2025-12-28,0,SE,0.025,hubdemo-damped4,0,1,12
2025-12-28,0,SE,0.025,hubdemo-exptrend4,0,1,12
2025-12-28,0,SE,0.025,hubdemo-linear4,0,1,12
2025-12-28,0,SE,0.025,hubdemo-mean3,0,1,12
2025-12-28,0,SE,0.025,hubdemo-mean6,0,1,12
2025-12-28,0,SE,0.025,hubdemo-persistence,0,1,12
2025-12-28,0,SE,0.1,intercept,33,0.1,12
2025-12-28,0,SE,0.1,hubdemo-damped4,0,0.1,12
2025-12-28,0,SE,0.1,hubdemo-exptrend4,0,0.1,12
2025-12-28,0,SE,0.1,hubdemo-linear4,0,0.1,12
2025-12-28,0,SE,0.1,hubdemo-mean3,0,0.1,12
2025-12-28,0,SE,0.1,hubdemo-mean6,0,0.1,12
2025-12-28,0,SE,0.1,hubdemo-persistence,0,0.1,12
2025-12-28,0,SE,0.25,intercept,-36.44685439,0.001,12
2025-12-28,0,SE,0.25,hubdemo-damped4,2.55823119711,0.001,12
2025-12-28,0,SE,0.25,hubdemo-exptrend4,-0.15712862624,0.001,12
2025-12-28,0,SE,0.25,hubdemo-linear4,0,0.001,12
2025-12-28,0,SE,0.25,hubdemo-mean3,-7.00305690573,0.001,12
2025-12-28,0,SE,0.25,hubdemo-mean6,7.82088876361,0.001,12
2025-12-28,0,SE,0.25,hubdemo-persistence,0,0.001,12
2025-12-28,0,SE,0.5,intercept,-5.93916208752,0.001,12
2025-12-28,0,SE,0.5,hubdemo-damped4,1.6050774872,0.001,12
2025-12-28,0,SE,0.5,hubdemo-exptrend4,1.83649643425,0.001,12
2025-12-28,0,SE,0.5,hubdemo-linear4,0,0.001,12
2025-12-28,0,SE,0.5,hubdemo-mean3,-18.1460615962,0.001,12
2025-12-28,0,SE,0.5,hubdemo-mean6,19.3583643436,0.001,12
2025-12-28,0,SE,0.5,hubdemo-persistence,0,0.001,12
2025-12-28,0,SE,0.75,intercept,59.9002988898,0.1,12
2025-12-28,0,SE,0.75,hubdemo-damped4,1.42773270709,0.1,12
2025-12-28,0,SE,0.75,hubdemo-exptrend4,0,0.1,12
2025-12-28,0,SE,0.75,hubdemo-linear4,0,0.1,12
2025-12-28,0,SE,0.75,hubdemo-mean3,0,0.1,12
2025-12-28,0,SE,0.75,hubdemo-mean6,0,0.1,12
2025-12-28,0,SE,0.75,hubdemo-persistence,0,0.1,12
2025-12-28,0,SE,0.9,intercept,268.201873588,0.1,12
2025-12-28,0,SE,0.9,hubdemo-damped4,0,0.1,12
2025-12-28,0,SE,0.9,hubdemo-exptrend4,0.682684252996,0.1,12
2025-12-28,0,SE,0.9,hubdemo-linear4,0,0.1,12
2025-12-28,0,SE,0.9,hubdemo-mean3,0,0.1,12
2025-12-28,0,SE,0.9,hubdemo-mean6,0,0.1,12
2025-12-28,0,SE,0.9,hubdemo-persistence,0,0.1,12
2025-12-28,0,SE,0.975,intercept,-13.1098716993,0.001,12
2025-12-28,0,SE,0.975,hubdemo-damped4,0,0.001,12
2025-12-28,0,SE,0.975,hubdemo-exptrend4,-0.131677291625,0.001,12
2025-12-28,0,SE,0.975,hubdemo-linear4,0,0.001,12
2025-12-28,0,SE,0.975,hubdemo-mean3,0,0.001,12
2025-12-28,0,SE,0.975,hubdemo-mean6,1.16903761221,0.001,12
2025-12-28,0,SE,0.975,hubdemo-persistence,1.74864589626,0.001,12
2026-01-04,0,SE,0.025,intercept,29,1,13
2026-01-04,0,SE,0.025,hubdemo-damped4,0,1,13
2026-01-04,0,SE,0.025,hubdemo-exptrend4,0,1,13
2026-01-04,0,SE,0.025,hubdemo-linear4,0,1,13
2026-01-04,0,SE,0.025,hubdemo-mean3,0,1,13
2026-01-04,0,SE,0.025,hubdemo-mean6,0,1,13
2026-01-04,0,SE,0.025,hubdemo-persistence,0,1,13
2026-01-04,0,SE,0.1,intercept,33,0.1,13
2026-01-04,0,SE,0.1,hubdemo-damped4,0,0.1,13
2026-01-04,0,SE,0.1,hubdemo-exptrend4,0,0.1,13
2026-01-04,0,SE,0.1,hubdemo-linear4,0,0.1,13
2026-01-04,0,SE,0.1,hubdemo-mean3,0,0.1,13
2026-01-04,0,SE,0.1,hubdemo-mean6,0,0.1,13
2026-01-04,0,SE,0.1,hubdemo-persistence,0,0.1,13
2026-01-04,0,SE,0.25,intercept,-32.0731342396,0.001,13
2026-01-04,0,SE,0.25,hubdemo-damped4,2.06147083852,0.001,13
