reference_date,target_end_date,target,horizon,location,location_name,output_type,output_type_id,value,distribution,mean,standard_deviation,mean_window_weeks,training_sample_count,training_last_target_end_date,outcome_data_version
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE,Sverige,quantile,0.5,19.6666666667,normal_quantiles_clipped_at_zero,19.6666666667,271.485703238,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE,Sverige,quantile,0.75,202.780990825,normal_quantiles_clipped_at_zero,19.6666666667,271.485703238,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE,Sverige,quantile,0.9,367.589594674,normal_quantiles_clipped_at_zero,19.6666666667,271.485703238,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-12,weekly incident influenza cases,0,SE,Sverige,quantile,0.975,551.76886733,normal_quantiles_clipped_at_zero,19.6666666667,271.485703238,3,511,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE,Sverige,quantile,0.025,0,normal_quantiles_clipped_at_zero,19.6666666667,365.73566892,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE,Sverige,quantile,0.1,0,normal_quantiles_clipped_at_zero,19.6666666667,365.73566892,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE,Sverige,quantile,0.25,0,normal_quantiles_clipped_at_zero,19.6666666667,365.73566892,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE,Sverige,quantile,0.5,19.6666666667,normal_quantiles_clipped_at_zero,19.6666666667,365.73566892,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE,Sverige,quantile,0.75,266.351626635,normal_quantiles_clipped_at_zero,19.6666666667,365.73566892,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE,Sverige,quantile,0.9,488.375785747,normal_quantiles_clipped_at_zero,19.6666666667,365.73566892,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-19,weekly incident influenza cases,1,SE,Sverige,quantile,0.975,736.495405612,normal_quantiles_clipped_at_zero,19.6666666667,365.73566892,3,510,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE,Sverige,quantile,0.025,0,normal_quantiles_clipped_at_zero,19.6666666667,436.032617554,3,509,2025-10-05,2026-08-25T00:00:00Z
2025-10-12,2025-10-26,weekly incident influenza cases,2,SE,Sverige,quantile,0.1,0,normal_quantiles_clipped_at_zero,19.6666666667,436.032617554,3,509,2025-10-05,2026-08-25T00:00:00Z
