reference_date,target_end_date,target,horizon,location,location_name,forecast_kind,observed_value,qra_wis,baseline_wis,wis_difference,wis_skill,qra_covered_50,baseline_covered_50,qra_covered_80,baseline_covered_80,qra_covered_95,baseline_covered_95,outcome_data_version
2025-12-21,2026-01-04,weekly incident influenza cases,2,SE,Sverige,forecast,2227,3155.07769175,1018.6898896,2136.38780215,-2.09719152409,false,false,false,false,true,false,2026-08-25T00:00:00Z
2025-12-28,2026-01-11,weekly incident influenza cases,2,SE,Sverige,forecast,1532,2824.53092555,133.003981164,2691.52694439,-20.2364389459,false,false,false,true,true,true,2026-08-25T00:00:00Z
2026-01-04,2026-01-18,weekly incident influenza cases,2,SE,Sverige,forecast,1082,2953.79055807,202.018659132,2751.77189894,-13.6213749302,false,false,true,true,true,true,2026-08-25T00:00:00Z
2026-01-11,2026-01-25,weekly incident influenza cases,2,SE,Sverige,forecast,968,3783.23503904,468.934512169,3314.30052687,-7.06772575032,false,false,true,false,true,false,2026-08-25T00:00:00Z
2026-01-18,2026-02-01,weekly incident influenza cases,2,SE,Sverige,forecast,1107,3670.89643037,343.250497916,3327.64593245,-9.69451159622,true,false,true,false,true,true,2026-08-25T00:00:00Z
2026-01-25,2026-02-08,weekly incident influenza cases,2,SE,Sverige,forecast,1404,4336.16515182,118.291027829,4217.87412399,-35.6567543744,true,true,true,true,true,true,2026-08-25T00:00:00Z
2026-02-01,2026-02-15,weekly incident influenza cases,2,SE,Sverige,forecast,1616,941.923640841,183.042819038,758.880821803,-4.14591965853,false,false,false,true,false,true,2026-08-25T00:00:00Z
2026-02-08,2026-02-22,weekly incident influenza cases,2,SE,Sverige,forecast,1529,430.588084924,206.474472854,224.11361207,-1.08543012108,false,false,false,true,false,true,2026-08-25T00:00:00Z
2026-02-15,2026-03-01,weekly incident influenza cases,2,SE,Sverige,forecast,1252,172.081600827,101.830435686,70.251165141,-0.689883772644,true,true,true,true,true,true,2026-08-25T00:00:00Z
2026-02-22,2026-03-08,weekly incident influenza cases,2,SE,Sverige,forecast,775,197.697824392,266.989359271,-69.291534879,0.259529200221,true,false,true,false,true,true,2026-08-25T00:00:00Z
2026-03-01,2026-03-15,weekly incident influenza cases,2,SE,Sverige,forecast,475,279.378593807,628.03331303,-348.654719223,0.555153225138,false,false,true,false,true,false,2026-08-25T00:00:00Z
2026-03-08,2026-03-22,weekly incident influenza cases,2,SE,Sverige,forecast,321,394.987345576,731.740204232,-336.752858656,0.460208222411,false,false,true,false,true,false,2026-08-25T00:00:00Z
2026-03-15,2026-03-29,weekly incident influenza cases,2,SE,Sverige,forecast,223,544.656881625,549.09750079,-4.440619165,0.00808712324972,false,false,false,false,true,false,2026-08-25T00:00:00Z
2026-03-22,2026-04-05,weekly incident influenza cases,2,SE,Sverige,forecast,187,290.157839569,299.074500226,-8.916660657,0.0298141789095,true,false,true,false,true,true,2026-08-25T00:00:00Z
2026-03-29,2026-04-12,weekly incident influenza cases,2,SE,Sverige,forecast,175,272.573309362,147.424530278,125.148779084,-0.848900646643,false,false,true,true,true,true,2026-08-25T00:00:00Z
2026-04-05,2026-04-19,weekly incident influenza cases,2,SE,Sverige,forecast,106,280.127470564,112.264116988,167.863353576,-1.49525385386,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-04-12,2026-04-26,weekly incident influenza cases,2,SE,Sverige,forecast,89,223.199247547,93.1160483837,130.083199163,-1.39700085454,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-04-19,2026-05-03,weekly incident influenza cases,2,SE,Sverige,forecast,74,179.404045695,83.0749819959,96.3290636991,-1.15954360007,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-04-26,2026-05-10,weekly incident influenza cases,2,SE,Sverige,forecast,65,165.450423971,74.5799345525,90.8704894185,-1.21843080131,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-05-03,2026-05-17,weekly incident influenza cases,2,SE,Sverige,forecast,53,165.761886807,68.0906781503,97.6712086567,-1.43442849021,false,true,false,true,false,true,2026-08-25T00:00:00Z
2026-05-10,2026-05-24,weekly incident influenza cases,2,SE,Sverige,forecast,53,143.545473109,59.6353666879,83.9101064211,-1.4070527454,false,true,false,true,false,true,2026-08-25T00:00:00Z
2026-05-17,2026-05-31,weekly incident influenza cases,2,SE,Sverige,forecast,30,164.181546139,59.4645950949,104.716951044,-1.76099662122,false,true,false,true,false,true,2026-08-25T00:00:00Z
2025-12-21,2026-01-11,weekly incident influenza cases,3,SE,Sverige,forecast,1532,1532,341.60869253,1190.39130747,-3.4846633985,false,false,false,false,false,true,2026-08-25T00:00:00Z
2025-12-28,2026-01-18,weekly incident influenza cases,3,SE,Sverige,forecast,1082,11794.3571988,117.689243905,11676.6679549,-99.2161013824,false,true,false,true,false,true,2026-08-25T00:00:00Z
2026-01-04,2026-01-25,weekly incident influenza cases,3,SE,Sverige,forecast,968,6823.74063738,251.126495179,6572.6141422,-26.1725236818,false,false,false,true,true,true,2026-08-25T00:00:00Z
2026-01-11,2026-02-01,weekly incident influenza cases,3,SE,Sverige,forecast,1107,7999.17018062,349.153329492,7650.01685113,-21.910193044,false,false,true,false,true,true,2026-08-25T00:00:00Z
2026-01-18,2026-02-08,weekly incident influenza cases,3,SE,Sverige,forecast,1404,1473.08925985,178.01444286,1295.07481699,-7.275110919,true,false,true,true,true,true,2026-08-25T00:00:00Z
2026-01-25,2026-02-15,weekly incident influenza cases,3,SE,Sverige,forecast,1616,779.383412571,99.2567678878,680.126644683,-6.85219415418,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-02-01,2026-02-22,weekly incident influenza cases,3,SE,Sverige,forecast,1529,390.511227427,146.813005976,243.698221451,-1.65992256497,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-02-08,2026-03-01,weekly incident influenza cases,3,SE,Sverige,forecast,1252,562.287306124,127.592232471,434.695073653,-3.40690859651,true,true,true,true,true,true,2026-08-25T00:00:00Z
2026-02-15,2026-03-08,weekly incident influenza cases,3,SE,Sverige,forecast,775,405.48528072,167.30082026,238.18446046,-1.42368973499,true,false,true,true,true,true,2026-08-25T00:00:00Z
2026-02-22,2026-03-15,weekly incident influenza cases,3,SE,Sverige,forecast,475,281.646522772,462.418355238,-180.771832466,0.390927026184,true,false,true,false,true,true,2026-08-25T00:00:00Z
2026-03-01,2026-03-22,weekly incident influenza cases,3,SE,Sverige,forecast,321,291.437968975,734.240453388,-442.802484413,0.603075576087,true,false,true,false,true,false,2026-08-25T00:00:00Z
2026-03-08,2026-03-29,weekly incident influenza cases,3,SE,Sverige,forecast,223,298.042670878,781.940387445,-483.897716567,0.618842208865,true,false,true,false,true,false,2026-08-25T00:00:00Z
2026-03-15,2026-04-05,weekly incident influenza cases,3,SE,Sverige,forecast,187,394.035648401,537.784580152,-143.748931751,0.267298351526,false,false,false,false,true,false,2026-08-25T00:00:00Z
2026-03-22,2026-04-12,weekly incident influenza cases,3,SE,Sverige,forecast,175,319.968722146,288.66961026,31.299111886,-0.108425378958,false,false,true,false,true,true,2026-08-25T00:00:00Z
2026-03-29,2026-04-19,weekly incident influenza cases,3,SE,Sverige,forecast,106,330.877455971,174.687462282,156.189993689,-0.89411106927,false,false,true,true,true,true,2026-08-25T00:00:00Z
2026-04-05,2026-04-26,weekly incident influenza cases,3,SE,Sverige,forecast,89,271.772798907,122.149095012,149.623703895,-1.22492683127,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-04-12,2026-05-03,weekly incident influenza cases,3,SE,Sverige,forecast,74,275.04833529,100.427361484,174.620973806,-1.73877886689,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-04-19,2026-05-10,weekly incident influenza cases,3,SE,Sverige,forecast,65,229.464500003,89.5786899129,139.88581009,-1.56159696269,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-04-26,2026-05-17,weekly incident influenza cases,3,SE,Sverige,forecast,53,234.227957395,81.5279174355,152.70003996,-1.87297854235,false,true,false,true,false,true,2026-08-25T00:00:00Z
2026-05-03,2026-05-24,weekly incident influenza cases,3,SE,Sverige,forecast,53,227.373723317,73.325988491,154.047734826,-2.10086134529,false,true,false,true,false,true,2026-08-25T00:00:00Z
2026-05-10,2026-05-31,weekly incident influenza cases,3,SE,Sverige,forecast,30,222.607008603,68.153706759,154.453301844,-2.26624947034,false,true,false,true,false,true,2026-08-25T00:00:00Z
2026-05-17,2026-06-07,weekly incident influenza cases,3,SE,Sverige,forecast,19,218.513101158,66.2651054038,152.247995754,-2.2975590973,false,true,false,true,false,true,2026-08-25T00:00:00Z
2025-11-30,2025-11-30,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,21,9.57853186771,6.00316692751,3.5753649402,-0.595579797026,false,true,false,true,false,true,2026-08-25T00:00:00Z
2025-12-07,2025-12-07,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,38,13.7329613466,8.72370111762,5.00926022898,-0.574212729373,false,false,false,true,false,true,2026-08-25T00:00:00Z
2025-12-14,2025-12-14,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,76,17.116589966,24.5597782053,-7.4431882393,0.303064147285,false,false,false,false,false,true,2026-08-25T00:00:00Z
2025-12-21,2025-12-21,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,107,19.2272106487,31.9320673032,-12.7048566545,0.397871410387,true,false,true,false,true,true,2026-08-25T00:00:00Z
2025-12-28,2025-12-28,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,138,11.3131968488,33.7224777382,-22.4092808894,0.664520592567,true,false,true,false,true,true,2026-08-25T00:00:00Z
2026-01-04,2026-01-04,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,190,7.3874639089,51.7359000108,-44.3484361019,0.857208168654,false,false,true,false,true,false,2026-08-25T00:00:00Z
2026-01-11,2026-01-11,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,126,84.3691927776,9.45134713956,74.917845638,-7.92668436909,false,true,false,true,true,true,2026-08-25T00:00:00Z
2026-01-18,2026-01-18,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,130,19.9991297036,9.78025510716,10.2188745964,-1.04484744871,false,true,true,true,true,true,2026-08-25T00:00:00Z
2026-01-25,2026-01-25,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,133,27.1630864037,8.9668389312,18.1962474725,-2.02928229358,false,true,false,true,false,true,2026-08-25T00:00:00Z
2026-02-01,2026-02-01,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,189,75.1639543528,30.0868201852,45.0771341676,-1.4982352369,false,false,false,false,false,true,2026-08-25T00:00:00Z
2026-02-08,2026-02-08,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,215,18.048711483,33.6345198807,-15.5858083977,0.463387271559,true,false,true,false,true,true,2026-08-25T00:00:00Z
2026-02-15,2026-02-15,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,224,18.395501094,19.7952227459,-1.3997216519,0.0707100733277,true,false,true,false,true,true,2026-08-25T00:00:00Z
2026-02-22,2026-02-22,weekly incident influenza cases,0,SE-M,Region Skåne,nowcast,188,24.3889496832,9.80526052916,14.583689154,-1.48733316271,false,true,true,true,true,true,2026-08-25T00:00:00Z
