location,location_name,year,week,target_end_date,value,status,release_status,data_version,source_region_code,source_year_week,official_release_time
SE,Sverige,2015,50,2015-12-13,112,available,historical,2026-08-25T00:00:00Z,00,2015W50,
SE-M,Region Skåne,2015,50,2015-12-13,16,available,historical,2026-08-25T00:00:00Z,12,2015W50,
SE-O,Västra Götalandsregionen,2015,50,2015-12-13,15,available,historical,2026-08-25T00:00:00Z,14,2015W50,
SE,Sverige,2015,51,2015-12-20,145,available,historical,2026-08-25T00:00:00Z,00,2015W51,
SE-M,Region Skåne,2015,51,2015-12-20,19,available,historical,2026-08-25T00:00:00Z,12,2015W51,
SE-O,Västra Götalandsregionen,2015,51,2015-12-20,18,available,historical,2026-08-25T00:00:00Z,14,2015W51,
SE,Sverige,2015,52,2015-12-27,251,available,historical,2026-08-25T00:00:00Z,00,2015W52,
SE-M,Region Skåne,2015,52,2015-12-27,52,available,historical,2026-08-25T00:00:00Z,12,2015W52,
SE-O,Västra Götalandsregionen,2015,52,2015-12-27,25,available,historical,2026-08-25T00:00:00Z,14,2015W52,
SE,Sverige,2015,53,2016-01-03,260,available,historical,2026-08-25T00:00:00Z,00,2015W53,
SE-M,Region Skåne,2015,53,2016-01-03,37,available,historical,2026-08-25T00:00:00Z,12,2015W53,
SE-O,Västra Götalandsregionen,2015,53,2016-01-03,27,available,historical,2026-08-25T00:00:00Z,14,2015W53,
SE,Sverige,2016,1,2016-01-10,305,available,historical,2026-08-25T00:00:00Z,00,2016W01,
SE-M,Region Skåne,2016,1,2016-01-10,23,available,historical,2026-08-25T00:00:00Z,12,2016W01,
SE-O,Västra Götalandsregionen,2016,1,2016-01-10,29,available,historical,2026-08-25T00:00:00Z,14,2016W01,
SE,Sverige,2016,2,2016-01-17,275,available,historical,2026-08-25T00:00:00Z,00,2016W02,
SE-M,Region Skåne,2016,2,2016-01-17,26,available,historical,2026-08-25T00:00:00Z,12,2016W02,
SE-O,Västra Götalandsregionen,2016,2,2016-01-17,45,available,historical,2026-08-25T00:00:00Z,14,2016W02,
SE,Sverige,2016,3,2016-01-24,378,available,historical,2026-08-25T00:00:00Z,00,2016W03,
SE-M,Region Skåne,2016,3,2016-01-24,46,available,historical,2026-08-25T00:00:00Z,12,2016W03,
SE-O,Västra Götalandsregionen,2016,3,2016-01-24,59,available,historical,2026-08-25T00:00:00Z,14,2016W03,
SE,Sverige,2016,4,2016-01-31,699,available,historical,2026-08-25T00:00:00Z,00,2016W04,
SE-M,Region Skåne,2016,4,2016-01-31,86,available,historical,2026-08-25T00:00:00Z,12,2016W04,
SE-O,Västra Götalandsregionen,2016,4,2016-01-31,125,available,historical,2026-08-25T00:00:00Z,14,2016W04,
SE,Sverige,2016,5,2016-02-07,884,available,historical,2026-08-25T00:00:00Z,00,2016W05,
SE-M,Region Skåne,2016,5,2016-02-07,140,available,historical,2026-08-25T00:00:00Z,12,2016W05,
SE-O,Västra Götalandsregionen,2016,5,2016-02-07,191,available,historical,2026-08-25T00:00:00Z,14,2016W05,
SE,Sverige,2016,6,2016-02-14,1112,available,historical,2026-08-25T00:00:00Z,00,2016W06,
SE-M,Region Skåne,2016,6,2016-02-14,176,available,historical,2026-08-25T00:00:00Z,12,2016W06,
SE-O,Västra Götalandsregionen,2016,6,2016-02-14,219,available,historical,2026-08-25T00:00:00Z,14,2016W06,
SE,Sverige,2016,7,2016-02-21,867,available,historical,2026-08-25T00:00:00Z,00,2016W07,
SE-M,Region Skåne,2016,7,2016-02-21,121,available,historical,2026-08-25T00:00:00Z,12,2016W07,
SE-O,Västra Götalandsregionen,2016,7,2016-02-21,195,available,historical,2026-08-25T00:00:00Z,14,2016W07,
SE,Sverige,2016,8,2016-02-28,768,available,historical,2026-08-25T00:00:00Z,00,2016W08,
SE-M,Region Skåne,2016,8,2016-02-28,152,available,historical,2026-08-25T00:00:00Z,12,2016W08,
SE-O,Västra Götalandsregionen,2016,8,2016-02-28,142,available,historical,2026-08-25T00:00:00Z,14,2016W08,
SE,Sverige,2016,9,2016-03-06,593,available,historical,2026-08-25T00:00:00Z,00,2016W09,
SE-M,Region Skåne,2016,9,2016-03-06,97,available,historical,2026-08-25T00:00:00Z,12,2016W09,
SE-O,Västra Götalandsregionen,2016,9,2016-03-06,115,available,historical,2026-08-25T00:00:00Z,14,2016W09,
SE,Sverige,2016,10,2016-03-13,594,available,historical,2026-08-25T00:00:00Z,00,2016W10,
SE-M,Region Skåne,2016,10,2016-03-13,92,available,historical,2026-08-25T00:00:00Z,12,2016W10,
SE-O,Västra Götalandsregionen,2016,10,2016-03-13,114,available,historical,2026-08-25T00:00:00Z,14,2016W10,
SE,Sverige,2016,11,2016-03-20,516,available,historical,2026-08-25T00:00:00Z,00,2016W11,
SE-M,Region Skåne,2016,11,2016-03-20,63,available,historical,2026-08-25T00:00:00Z,12,2016W11,
SE-O,Västra Götalandsregionen,2016,11,2016-03-20,90,available,historical,2026-08-25T00:00:00Z,14,2016W11,
SE,Sverige,2016,12,2016-03-27,411,available,historical,2026-08-25T00:00:00Z,00,2016W12,
SE-M,Region Skåne,2016,12,2016-03-27,43,available,historical,2026-08-25T00:00:00Z,12,2016W12,
SE-O,Västra Götalandsregionen,2016,12,2016-03-27,88,available,historical,2026-08-25T00:00:00Z,14,2016W12,
SE,Sverige,2016,13,2016-04-03,375,available,historical,2026-08-25T00:00:00Z,00,2016W13,
SE-M,Region Skåne,2016,13,2016-04-03,39,available,historical,2026-08-25T00:00:00Z,12,2016W13,
SE-O,Västra Götalandsregionen,2016,13,2016-04-03,66,available,historical,2026-08-25T00:00:00Z,14,2016W13,
SE,Sverige,2016,14,2016-04-10,257,available,historical,2026-08-25T00:00:00Z,00,2016W14,
SE-M,Region Skåne,2016,14,2016-04-10,24,available,historical,2026-08-25T00:00:00Z,12,2016W14,
SE-O,Västra Götalandsregionen,2016,14,2016-04-10,57,available,historical,2026-08-25T00:00:00Z,14,2016W14,
SE,Sverige,2016,15,2016-04-17,156,available,historical,2026-08-25T00:00:00Z,00,2016W15,
SE-M,Region Skåne,2016,15,2016-04-17,10,available,historical,2026-08-25T00:00:00Z,12,2016W15,
SE-O,Västra Götalandsregionen,2016,15,2016-04-17,26,available,historical,2026-08-25T00:00:00Z,14,2016W15,
SE,Sverige,2016,16,2016-04-24,105,available,historical,2026-08-25T00:00:00Z,00,2016W16,
SE-M,Region Skåne,2016,16,2016-04-24,5,available,historical,2026-08-25T00:00:00Z,12,2016W16,
SE-O,Västra Götalandsregionen,2016,16,2016-04-24,14,available,historical,2026-08-25T00:00:00Z,14,2016W16,
SE,Sverige,2016,17,2016-05-01,60,available,historical,2026-08-25T00:00:00Z,00,2016W17,
SE-M,Region Skåne,2016,17,2016-05-01,8,available,historical,2026-08-25T00:00:00Z,12,2016W17,
SE-O,Västra Götalandsregionen,2016,17,2016-05-01,16,available,historical,2026-08-25T00:00:00Z,14,2016W17,
SE,Sverige,2016,18,2016-05-08,60,available,historical,2026-08-25T00:00:00Z,00,2016W18,
SE-M,Region Skåne,2016,18,2016-05-08,6,available,historical,2026-08-25T00:00:00Z,12,2016W18,
SE-O,Västra Götalandsregionen,2016,18,2016-05-08,13,available,historical,2026-08-25T00:00:00Z,14,2016W18,
SE,Sverige,2016,19,2016-05-15,50,available,historical,2026-08-25T00:00:00Z,00,2016W19,
SE-M,Region Skåne,2016,19,2016-05-15,7,available,historical,2026-08-25T00:00:00Z,12,2016W19,
SE-O,Västra Götalandsregionen,2016,19,2016-05-15,15,available,historical,2026-08-25T00:00:00Z,14,2016W19,
SE,Sverige,2016,20,2016-05-22,33,available,historical,2026-08-25T00:00:00Z,00,2016W20,
SE-M,Region Skåne,2016,20,2016-05-22,1,available,historical,2026-08-25T00:00:00Z,12,2016W20,
SE-O,Västra Götalandsregionen,2016,20,2016-05-22,18,available,historical,2026-08-25T00:00:00Z,14,2016W20,
SE,Sverige,2016,21,2016-05-29,23,available,historical,2026-08-25T00:00:00Z,00,2016W21,
SE-M,Region Skåne,2016,21,2016-05-29,2,available,historical,2026-08-25T00:00:00Z,12,2016W21,
SE-O,Västra Götalandsregionen,2016,21,2016-05-29,8,available,historical,2026-08-25T00:00:00Z,14,2016W21,
SE,Sverige,2016,22,2016-06-05,9,available,historical,2026-08-25T00:00:00Z,00,2016W22,
SE-M,Region Skåne,2016,22,2016-06-05,0,available,historical,2026-08-25T00:00:00Z,12,2016W22,
SE-O,Västra Götalandsregionen,2016,22,2016-06-05,3,available,historical,2026-08-25T00:00:00Z,14,2016W22,
SE,Sverige,2016,23,2016-06-12,8,available,historical,2026-08-25T00:00:00Z,00,2016W23,
SE-M,Region Skåne,2016,23,2016-06-12,1,available,historical,2026-08-25T00:00:00Z,12,2016W23,
SE-O,Västra Götalandsregionen,2016,23,2016-06-12,1,available,historical,2026-08-25T00:00:00Z,14,2016W23,
SE,Sverige,2016,24,2016-06-19,2,available,historical,2026-08-25T00:00:00Z,00,2016W24,
SE-M,Region Skåne,2016,24,2016-06-19,0,available,historical,2026-08-25T00:00:00Z,12,2016W24,
SE-O,Västra Götalandsregionen,2016,24,2016-06-19,1,available,historical,2026-08-25T00:00:00Z,14,2016W24,
SE,Sverige,2016,25,2016-06-26,3,available,historical,2026-08-25T00:00:00Z,00,2016W25,
SE-M,Region Skåne,2016,25,2016-06-26,0,available,historical,2026-08-25T00:00:00Z,12,2016W25,
SE-O,Västra Götalandsregionen,2016,25,2016-06-26,3,available,historical,2026-08-25T00:00:00Z,14,2016W25,
SE,Sverige,2016,26,2016-07-03,2,available,historical,2026-08-25T00:00:00Z,00,2016W26,
SE-M,Region Skåne,2016,26,2016-07-03,0,available,historical,2026-08-25T00:00:00Z,12,2016W26,
SE-O,Västra Götalandsregionen,2016,26,2016-07-03,1,available,historical,2026-08-25T00:00:00Z,14,2016W26,
SE,Sverige,2016,27,2016-07-10,1,available,historical,2026-08-25T00:00:00Z,00,2016W27,
SE-M,Region Skåne,2016,27,2016-07-10,0,available,historical,2026-08-25T00:00:00Z,12,2016W27,
SE-O,Västra Götalandsregionen,2016,27,2016-07-10,0,available,historical,2026-08-25T00:00:00Z,14,2016W27,
SE,Sverige,2016,28,2016-07-17,1,available,historical,2026-08-25T00:00:00Z,00,2016W28,
SE-M,Region Skåne,2016,28,2016-07-17,0,available,historical,2026-08-25T00:00:00Z,12,2016W28,
